uuid,stop,platform,line,direction,scheduled_departure,real_departure,delay_min,connection_exists
b9353429-c1b4-5ec7-b0e7-e9e3cb8ed4a2,Wuppertal Hbf,4,628,Wuppertal Sedanstraße,17:46,17:46,0.0,True
3080c7e0-4121-5f79-865a-680f1c75d62b,Wuppertal Hbf,2,647,Velbert Rosenhügel Bahnhof,17:47,17:47,0.0,True
fdfbf17d-4a40-586e-ba40-590890846cd5,Wuppertal Hbf,2,645,Wuppertal Raukamp Schleife,17:48,17:48,0.0,True
56002e18-5621-52ed-ad15-9a2e20d3265c,Wuppertal Hbf,1,RB48,Bonn Lannesdorf Mehlem Bf,17:48,17:50,2.0,True
cb0e558c-d031-5041-b04c-bdd1e1d2da62,Wuppertal Hbf,3,635,Wuppertal Mastweg,17:48,17:48,0.0,True
39c892a2-5e72-5da9-b2e1-38d1f51d2122,Wuppertal Hbf,,,W-Vohwinkel Schwebebahn,17:49,,,True
6796d196-611b-5131-829c-0c5044810005,Wuppertal Hbf,3,603,Wuppertal Campus Freudenberg,17:49,17:49,0.0,True
39c892a2-5e72-5da9-b2e1-38d1f51d2122,Wuppertal Hbf,,,W-Oberbarmen Bf,17:49,,,True
35f401c6-377e-5ad4-ba7b-dcacb459dcf9,Wuppertal Hbf,5,619,Wuppertal Rabenweg,17:51,17:52,1.0,True
085b0657-819c-5ee8-acac-f24a2141f537,Wuppertal Hbf,2,613,Wuppertal Am Eckbusch,17:52,17:52,0.0,True
0ec1ea80-d4eb-5bda-bacb-d90ec8b1fd9f,Wuppertal Hbf,2,625,Wuppertal Am Handweiser,17:52,17:52,0.0,True
492e47b4-6c8f-54ce-be7f-92458a563bc7,Wuppertal Hbf,3,645,W.-tal Schulzentrum Süd,17:52,17:52,0.0,True
045049e4-52b9-5ab9-9870-a71e55ae3b18,Wuppertal Hbf,,,W-Vohwinkel Schwebebahn,17:53,,,True
cd00b148-4dd7-514b-9098-dd47598fc34f,Wuppertal Hbf,3,CE64,Solingen Gr.-Wilh.-Pl.,17:53,17:56,3.0,True
b2d5987f-e367-5fa8-9a62-89489b2ffdbc,Wuppertal Hbf,1,612,Wuppertal Silberkuhle,17:53,17:53,0.0,True
bfec3884-919d-57f6-af02-f427a0bdbe2f,Wuppertal Hbf,5,S7,Solingen Hbf,17:53,17:53,0.0,True
22179d63-8f58-5519-8da7-f68a3fe0bbc7,Wuppertal Hbf,4,S9,Haltern am See Bf,17:53,17:53,0.0,True
045049e4-52b9-5ab9-9870-a71e55ae3b18,Wuppertal Hbf,,,W-Oberbarmen Bf,17:53,,,True
777406d6-ddfa-537e-aed9-efeb6de099b6,Wuppertal Hbf,2,643,Wuppertal Lutherstift,17:55,17:55,0.0,True
32818dc9-9353-56bb-b1ae-bb3339d4e1ab,Wuppertal Hbf,5,611,Wuppertal Birkenhöhe Schleife,17:55,17:55,0.0,True
05e437ac-9917-575a-ba9a-981e191c9fc3,Wuppertal Hbf,4,620,RS-Lüttringhausen Eisernstein,17:56,17:56,0.0,True
c8f2f1cb-2338-5efc-859d-b45cf9b76443,Wuppertal Hbf,2,RE7,Rheine,17:56,18:01,5.0,True
04fa8dd0-f0ed-5b02-b6c1-09a6d855ce11,Wuppertal Hbf,2,628,Wuppertal Hamburger Treppe,17:57,17:57,0.0,True
9fa6d3b9-b3a6-52f5-9de0-ea2c2746789b,Wuppertal Hbf,5,649,Velbert ZOB,17:57,17:57,0.0,True
17d75245-8014-50ef-94b8-c17d5c428303,Wuppertal Hbf,1,RE4,"Aachen, Hbf",17:57,18:01,4.0,True
f46e72de-457c-57ab-ad31-59a259b625f8,Wuppertal Hbf,,,W-Vohwinkel Schwebebahn,17:57,,,True
1d96d266-fbd6-5d6d-8772-f6a5de68e9c5,Wuppertal Hbf,,,W-Oberbarmen Bf,17:58,,,True
