uuid,stop,platform,line,direction,scheduled_departure,real_departure,delay_min,connection_exists
faffa084-e20e-569f-b175-818ef6ba88a8,Bochum Hbf,6,ICE 114 WÃ¶rthersee,Dortmund Hbf,20:45,21:06,21.0,True
190e7b3e-58fb-50c8-8a11-02b9cb1fa16f,Essen Hauptbahnhof,6,ICE 114 WÃ¶rthersee,Dortmund Hbf,20:34,20:57,23.0,True
ebee881d-3e01-5eab-88d4-54633025cc5d,Essen Hauptbahnhof,1,ICE 544 InterCityExpress,Köln Hbf,20:37,,,True
b6d36ab0-6e24-5e94-a9a4-882d2be75364,Düsseldorf Hbf,17,ICE 26 InterCityExpress,Dortmund Hbf,20:34,20:45,11.0,True
cf03f8a4-fa2c-516c-a9e6-11fecbee2ec8,Duisburg Hbf,13,ICE 26 InterCityExpress,Dortmund Hbf,20:47,20:57,10.0,True
7037f028-df03-51dd-bdef-b2d427d9250a,Duisburg Hbf,4,ICE 544 InterCityExpress,Köln Hbf,20:50,,,True
7a872f0a-b132-5e2c-83b8-8205cbd59717,Bochum Hbf,5,ICE 26 InterCityExpress,Dortmund Hbf,21:10,21:19,9.0,True
98db79f7-fbe4-5249-ad48-3de8fc4aec0a,Duisburg Hbf,13,ICE 620 InterCityExpress,Dortmund Hbf,21:04,21:55,51.0,True
a7706a63-f46e-5160-a1e4-61d30a4e81fc,Wuppertal Hbf,2,ICE 657 InterCityExpress,S Ostbahnhof (Berlin),21:17,21:24,7.0,True
809bf2ea-9c41-5aaf-8fc7-994a88032477,Dortmund Hbf,16,ICE 844 InterCityExpress,Köln Messe/Deutz Bf,21:13,,,True
c16ace25-e61c-53cc-814f-08983f92a409,Düsseldorf Hbf,17,ICE 620 InterCityExpress,Dortmund Hbf,20:51,21:41,50.0,True
e662dff1-26b8-5331-917f-f29e619e8b5e,Duisburg Hbf,4,ICE 617 InterCityExpress,Stuttgart Hauptbahnhof (oben),21:13,21:21,8.0,True
